name,categories,lat,lng,state
Yuki Express,Asian Restaurant,30.903403704867735,-84.53757125190016,GA
Makan,Asian Restaurant,30.9038,-84.57547,GA
Jin's Chinese Buffet,Chinese Restaurant,30.891642177343428,-84.2075430458916,GA
Star China Buffet,Chinese Restaurant,30.902764802005024,-84.55416162823212,GA
No1 China,Chinese Restaurant,30.886484218433413,-84.20522666618554,GA
"Yum Yum Express Cairo, Ga",Japanese Restaurant,30.884674072265625,-84.20401763916016,GA
Yuki Express Japanese Restaurant,Japanese Restaurant,30.9037995,-84.5754699,GA
Super Hibachi Buffet,Asian Restaurant,30.859401076653732,-83.94709162852925,GA
So.Ho.,Asian Restaurant,30.837947,-83.980286,GA
China Buffet,Chinese Restaurant,30.849663445584547,-83.95041704177856,GA
Hong Yip Chinese Cuisine,Chinese Restaurant,30.838409633333335,-83.97916793333333,GA
Yummi Express,Japanese Restaurant,30.85645181319163,-83.95245349026321,GA
Masato Express,Japanese Restaurant,30.851591219630993,-83.94912938521641,GA
Mosato's,Japanese Restaurant,30.851486206054688,-83.9488296508789,GA
Osaka Hibachi & Sushi,Japanese Restaurant,30.83805006004257,-83.9463688166637,GA
Mori Japanese Steakhouse,Japanese Restaurant,30.840985238252618,-83.31828753982037,GA
Beijing Cafe,Chinese Restaurant,30.841600659569156,-83.31798184343978,GA
Great Wall Chinese Restaurant,Chinese Restaurant,30.870550842017217,-83.28915347402364,GA
Thai Chang,Thai Restaurant,30.972441499532827,-83.21456155884893,GA
Hibachi Express,Japanese Restaurant,30.85323561990341,-83.28023794338453,GA
Hunan House,Asian Restaurant,30.84656974368454,-83.31675226259182,GA
Cup Works,Asian Restaurant,30.906316,-83.263212,GA
Passage  2India,Indo-Pak Restaurant,30.871033395009103,-83.28980141400802,GA
Wild Wok,Chinese Restaurant,30.84677945893064,-83.30376398842422,GA
Tandoor,Indo-Pak Restaurant,30.844593612780745,-83.3325466893169,GA
Lin's Hibachi,Asian Restaurant,30.68165104766041,-83.21837949718702,GA
Royal Buffet,Asian Restaurant,30.881044365249117,-83.28859806060791,GA
ichiban japanese steak house,Japanese Restaurant,30.873132848802733,-83.29040566829251,GA
Masato Japanese Steakhouse & Sushi Bar,Japanese Restaurant,30.846580452266174,-83.31070626338209,GA
Panda Express,Chinese Restaurant,30.83878704525095,-83.31980702463287,GA
Keiko's,Chinese Restaurant,30.785284557858958,-83.569562322118,GA
Peking Chinese Resturant,Chinese Restaurant,30.88368596456875,-83.29092459117632,GA
Mandarin Express,Chinese Restaurant,30.84353727890438,-83.32030830505757,GA
China Wok II,Chinese Restaurant,30.859808623230663,-83.2797128388477,GA
Garden Cafe,Chinese Restaurant,30.86546471494179,-83.28492712081471,GA
Hibachi Grill & Buffet,Chinese Restaurant,30.850253105163574,-83.31937326666667,GA
China Garden Chinese Restaurant,Chinese Restaurant,30.892907958207317,-83.32788705825806,GA
Ming's,Chinese Restaurant,30.8362,-83.282032,GA
China 1,Chinese Restaurant,30.989532,-83.371824,GA
Chow Town Grill and Buffet,Japanese Restaurant,30.847365972319086,-83.31903525472195,GA
Thai Cafe,Thai Restaurant,30.865374,-83.285307,GA
Thai Mobile,Thai Restaurant,30.97077001280171,-83.21569650371507,GA
Osaka Hibachi and Sushi,Japanese Restaurant,30.881226,-83.285756,GA
Aligatou,Japanese Restaurant,30.81999698,-83.31428087,GA
Ichiban Japanese Steakhouse & Sushi Bar,Japanese Restaurant,30.87311310996508,-83.29020889449839,GA
Chens China,Chinese Restaurant,31.032181,-82.744557,GA
Tuptim Thai,Thai Restaurant,30.831514578629704,-82.00682419447108,GA
Thai Smile,Thai Restaurant,30.83171,-82.006751,GA
Osaka Steak House,Japanese Restaurant,30.78412903118832,-81.61002589933094,GA
Raidas Asian Cafe,Asian Restaurant,30.7815468,-81.63094455,GA
Wasabi Sushi,Japanese Restaurant,30.777080070042423,-81.61984890494949,GA
China King,Chinese Restaurant,30.78550518265111,-81.64931396322046,GA
China Wok,Chinese Restaurant,30.78415,-81.634804,GA
Pat Thai,Thai Restaurant,30.750351529450842,-81.57757508528279,GA
Bonzai,Japanese Restaurant,30.78924051,-81.64998,GA
Hong Kong Buffet,Chinese Restaurant,31.17226783934452,-84.73411459561504,GA
Guang Zhou,Chinese Restaurant,31.614916036396643,-84.20743500698566,GA
House Of China II,Chinese Restaurant,31.61116697661515,-84.2136031932798,GA
Rice Bowl,Asian Restaurant,31.631193294697734,-84.17522966975906,GA
Hong Kong Café,Chinese Restaurant,31.618581538871876,-84.22381796283035,GA
Mikata Japanese Steakhouse & Sushi Bar,Japanese Restaurant,31.614170947503794,-84.21908591211329,GA
Crazy Buffet,Chinese Restaurant,31.577133400543982,-84.08898023591355,GA
Tokyo,Japanese Restaurant,31.619798895814785,-84.225474280144,GA
Hibachi Express,Japanese Restaurant,31.6110573347813,-84.2237240676649,GA
Tokyo Sushi & Hibachi,Japanese Restaurant,31.619568843130658,-84.22534271270119,Georgia
Cup O Rice N Wings,Asian Restaurant,31.599965,-84.175963,GA
Peacock Grill,Indo-Pak Restaurant,31.6158,-84.2237,GA
Kings Deli,Asian Restaurant,31.57765301377062,-84.176453812499,GA
Bombay Grill,Indo-Pak Restaurant,31.631525784993748,-84.17548152624491,Georgia
Hibachi Grill Buffet,Asian Restaurant,31.612246795543467,-84.21506981523406,GA
Great Wall,Chinese Restaurant,31.61256793367673,-84.21849754792221,GA
China Shuttle,Chinese Restaurant,31.617504904236373,-84.2168797191318,GA
Shogun,Japanese Restaurant,31.612362575103585,-84.22443490227322,GA
No. 1 Chinese,Chinese Restaurant,31.774157753380045,-84.44685213630802,GA
Red Wok,Chinese Restaurant,31.56217785804277,-84.17676905490602,GA
China Garden,Chinese Restaurant,31.621212131986926,-84.22401248894586,GA
Peking House,Chinese Restaurant,31.55026625472896,-84.13767283377122,GA
New China Buffet,Chinese Restaurant,31.179171725941664,-83.78216559793442,GA
China Cafe,Chinese Restaurant,31.179096767823715,-83.77991840342499,GA
Dragon House,Chinese Restaurant,31.6094883,-84.15286683333333,GA
Peking House,Chinese Restaurant,31.171140259728592,-83.75976859998394,GA
China Garden,Chinese Restaurant,31.607274057013342,-84.1754248743482,GA
Hibachi Express,Japanese Restaurant,31.674468,-84.137158,GA
Hibachi Express,Japanese Restaurant,31.629815325397928,-84.17749258125322,GA
Japan Express,Japanese Restaurant,31.552038,-84.161157,GA
Panda,Chinese Restaurant,31.612944,-84.220691,GA
Tokoyo Japanese Steak House And Sushi Bar,Japanese Restaurant,31.619754,-84.225362,GA
Ichiban Grill,Japanese Restaurant,31.186021,-83.759838,GA
Viėt Phô,Vietnamese Restaurant,31.615552,-84.223478,GA
Asahi Express,Japanese Restaurant,31.457587299363478,-83.52640583660497,GA
saigon kitchen,Thai Restaurant,31.45745086669922,-83.52174377441406,GA
Coconut Asian Bistro,Asian Restaurant,31.457369,-83.521851,GA
Kobe,Japanese Restaurant,31.498734,-82.851244,GA
Main Garden,Asian Restaurant,31.701265663897168,-83.24935924016057,GA
King Buffet,Asian Restaurant,31.45282,-83.52723,GA
Tokyo Express,Japanese Restaurant,31.514446176048253,-82.85044504774919,GA
China Garden,Chinese Restaurant,31.2065756,-83.2492946,GA
Lin's Garden,Chinese Restaurant,31.44510092156143,-83.54347791858177,Georgia
New China Buffet,Chinese Restaurant,31.4711878291282,-83.50300860225704,GA
Jin Jin,Chinese Restaurant,31.50850648772249,-82.85027149425815,GA
China Buffet Restaurant,Chinese Restaurant,31.134858205695366,-83.44006977370849,GA
China House,Chinese Restaurant,31.13503584,-83.43132876,GA
Dragon 1 Chinese Restyrant,Chinese Restaurant,31.43157036143784,-83.51621147271537,GA
Great Wall,Chinese Restaurant,31.458359056601832,-83.5078871129709,GA
Thai Smile,Thai Restaurant,31.498798,-82.85012,GA
Oishii Japanese Grill,Japanese Restaurant,31.445733689092773,-83.54473519029399,GA
Oishii,Japanese Restaurant,31.445525,-83.544686,GA
Fuji Express,Japanese Restaurant,31.48810119956399,-82.84560115859745,Georgia
KOBE Hibachi and Sushi,Japanese Restaurant,31.691092,-83.24734,GA
Zoku Hibachi,Japanese Restaurant,31.135868,-83.440063,GA
Tokyo Japanese Restaurant,Japanese Restaurant,31.452908165765677,-83.52888592639911,GA
Tokyo Sushi Bar,Japanese Restaurant,31.452907902392415,-83.52870745195277,GA
Osaka Hitachl and Sushi,Japanese Restaurant,31.463107,-83.527782,GA
Wong's Palace Restaurant,Chinese Restaurant,31.208998241450765,-82.33929178625225,GA
New China,Chinese Restaurant,31.598338346375026,-81.87418757416283,GA
Fancy Q's,Japanese Restaurant,31.21061482199517,-82.36084642984751,GA
New Super Buffet,Chinese Restaurant,31.605158669849995,-81.90855657453022,GA
Kobe Japanese Hibachi & Sushi,Japanese Restaurant,31.196351977423426,-82.3201214631226,GA
Fuji Japanese Steakhouse & Seafood,Japanese Restaurant,31.201216245328006,-82.32764030897413,GA
Number 1 Wok,Chinese Restaurant,31.2257,-82.353397,GA
Mr Sze Chinese Food,Chinese Restaurant,31.51745,-82.639969,GA
China Buffet,Chinese Restaurant,31.86403874112481,-82.60099819865123,GA
Panda,Chinese Restaurant,31.304652128309478,-82.24305837035072,GA
Jin's Buffet,Chinese Restaurant,31.78008819,-82.35503681666667,GA
New China Resturant,Chinese Restaurant,31.863020162008276,-82.60540042601184,GA
New Beijing Buffet,Chinese Restaurant,31.194657171314738,-82.32139612177245,GA
Nang's Thai,Thai Restaurant,31.610732454788568,-81.889473370981,GA
japanese express,Japanese Restaurant,31.48500633239746,-82.01851654052734,GA
Fuji Express,Japanese Restaurant,31.209318,-82.385411,GA
Fuji Express,Japanese Restaurant,31.613729299922742,-81.87728840334678,GA
Nikoto Japanese Express,Japanese Restaurant,31.267209,-82.286365,GA
Fuji,Japanese Restaurant,31.77930023899885,-82.35216903707173,GA
fuji express,Japanese Restaurant,31.2012085713137,-82.32762068118384,GA
Kobe Hibachi,Japanese Restaurant,31.60333463571555,-81.90668882594767,GA
Fuji,Japanese Restaurant,31.299066,-82.24893705916737,Georgia
Oishii,Japanese Restaurant,31.592521,-81.871195,Georgia
Kobe Hibachi & Sushi,Japanese Restaurant,31.785211,-82.362718,GA
Kyoto Express,Asian Restaurant,31.21361924476782,-81.48238242423183,GA
Panda Express,Chinese Restaurant,31.822362,-81.59995,GA
Basil Thai,Thai Restaurant,31.147584,-81.494951,GA
Golden Hibachi Buffet,Chinese Restaurant,31.838536156284025,-81.59644841869489,GA
Fancy Q Sushi Bar & Grill,Japanese Restaurant,31.162380854696035,-81.38897006706945,GA
Seasons Of Japan,Japanese Restaurant,31.202949398958967,-81.48222923827352,GA
Fancy Q,Japanese Restaurant,31.19388679315297,-81.47977440834259,GA
Tip Tum Thai,Thai Restaurant,31.22666833526042,-81.52735241170689,GA
Orient Express,Chinese Restaurant,31.84124210842649,-81.60158179939276,GA
Kobe Japanese Steakhouse,Japanese Restaurant,31.85423157489538,-81.57741380724806,GA
China Restaurant,Chinese Restaurant,31.852287949997486,-81.58001144340825,GA
China One,Chinese Restaurant,31.2134999610978,-81.48100074143443,Georgia
First Asia Express,Asian Restaurant,31.845719365844317,-81.60228252410889,GA
Asian Taste Lee,Asian Restaurant,31.22646244793565,-81.52706306266212,GA
New Hong Kong,Chinese Restaurant,31.19309425354004,-81.4856185913086,GA
Wok N Roll,Chinese Restaurant,31.85348566,-81.60594,GA
Panda Express,Chinese Restaurant,31.235073,-81.49978,GA
China Super Buffet,Chinese Restaurant,31.851426845407197,-81.58396834838193,GA
