name,categories,lat,lng,state
Super Canton Chinese Restaurant,Chinese Restaurant,30.95144473872798,-85.51643543535576,FL
Fortune Cookie,Chinese Restaurant,30.783262332519097,-85.24828045457674,FL
New Star Chinese Restaurant,Asian Restaurant,30.75491424283942,-85.54934057187972,FL
King House,Asian Restaurant,30.442997760654322,-85.05437010917449,FL
Panda Buffet,Chinese Restaurant,30.774442,-85.22342077,FL
China King Restaurant,Chinese Restaurant,30.704985,-84.846048,FL
Ichban,Japanese Restaurant,30.933242797851562,-85.38966369628906,Florida
Yamato Steak House of Japan,Sushi Restaurant,30.775712,-85.23378,FL
China Buffet,Asian Restaurant,30.4062294,-84.60966135,FL
1 Fresh Stir Fry,Asian Restaurant,30.464370257779507,-84.28320963041482,FL
Masa,Asian Restaurant,30.4615978299991,-84.28185597376083,FL
Sakura Japanese Sushi & Grill,Asian Restaurant,30.457060007133762,-84.28085559534789,FL
Persis Grill,Indian Restaurant,30.460265740918448,-84.22423124357445,FL
Mayuri Indian Restaurant,Indian Restaurant,30.434194426486687,-84.26232972535,FL
Jasmine Cafe,Asian Restaurant,30.440787235773744,-84.28143298591,FL
Essence of India,Indian Restaurant,30.436881067815595,-84.26568770244026,FL
Mr Roboto's Tokyo Grill,Asian Restaurant,30.449183877963126,-84.30459352906685,FL
Samrat Indian Restaurant,Indian Restaurant,30.427154340991986,-84.23728835876888,FL
Bento Asian Kitchen & Sushi,Asian Restaurant,30.449362,-84.30896,FL
Tan's Asian Cafe,Chinese Restaurant,30.489977417167566,-84.23937529139533,FL
Mr. Roboto Tokyo Grill,Asian Restaurant,30.44040160830327,-84.3186546060721,FL
Nefetari's,Indian Restaurant,30.434934080020735,-84.28859294623187,FL
Mr Roboto,Asian Restaurant,30.461559197969912,-84.22630755670463,FL
Panda Buffet,Asian Restaurant,30.507732041728996,-84.24864575807857,FL
Azu Lucy Ho's,Japanese Restaurant,30.42806128925736,-84.22111697304581,FL
Ming Tree Cafe,Chinese Restaurant,30.513051113599875,-84.22309337649813,FL
Sheesha Nights Cafe,Indian Restaurant,30.439505829057595,-84.29410687392692,FL
Empire Chinese Restaurant,Chinese Restaurant,30.463211571918027,-84.28431531543661,FL
China Dragon,Chinese Restaurant,30.431944458882825,-84.25170819179812,FL
Bamboo House Chinese Restaurant,Chinese Restaurant,30.456467821440487,-84.2813801325285,FL
Thai Place,Thai Restaurant,30.540482705708307,-84.22556060805228,FL
Osaka Japanese Steak House & Sushi Bar,Japanese Restaurant,30.50061497331287,-84.24883200353828,FL
Tally Thai & Sushi,Thai Restaurant,30.440430372183872,-84.31820962884977,FL
Bahn Thai,Thai Restaurant,30.430865154818704,-84.28046048289704,FL
Bamboo Wok,Chinese Restaurant,30.442772475216362,-84.24852902165807,FL
Reangthai Restaurant,Thai Restaurant,30.48920957606641,-84.24081755363234,FL
Siam Sushi,Sushi Restaurant,30.4624859598018,-84.28445978019464,FL
Hasu Sushi & Grill l,Sushi Restaurant,30.404585994023265,-84.23753404232254,FL
Kiku Japanese Fusion,Japanese Restaurant,30.506804715295754,-84.2479932332304,FL
Panda Express,Asian Restaurant,30.449430524145917,-84.30535855576677,FL
Tasty Asian,Asian Restaurant,30.464521162599898,-84.27071127449418,FL
Mori Japanese Steakhouse,Japanese Restaurant,30.47922470860929,-84.29726220457854,FL
Fat Noodle,Noodle House,30.44070735352755,-84.27997972094634,FL
Japanica,Sushi Restaurant,30.4598572873979,-84.22560216332552,FL
Pho Me Noodle Bar,Vietnamese Restaurant,30.429832126784184,-84.24181376141782,FL
BJ's Restaurant & Brewhouse,American Restaurant,30.43200976509015,-84.24975739468498,FL
Spring Sushi,Sushi Restaurant,30.473581052176517,-84.28902560751398,FL
Panda Express,Chinese Restaurant,30.48102006652826,-84.23640203599355,FL
Lemongrass,Vietnamese Restaurant,30.47534,-84.29064,FL
The Curry Pot,Indian Restaurant,30.542576905759873,-84.22506740778304,FL
Wok N Roll,Asian Restaurant,30.459130829056992,-84.23005357654675,FL
China King,Asian Restaurant,30.50263431248981,-84.33134787261282,FL
Asian 66,Asian Restaurant,30.512572948260836,-84.24915564526233,FL
Joy Luck Place,Asian Restaurant,30.452661,-84.280911,FL
Da Khyber Grill,Pakistani Restaurant,30.458856,-84.230132,FL
"Little India Grocery Store, Inc",Grocery Store,30.448775419909378,-84.260995388031,FL
Sumo Sabi Rolls and Bows,Asian Restaurant,30.440617,-84.317666,FL
Pho 7,Vietnamese Restaurant,30.44055171878824,-84.32044661451106,FL
China First,Chinese Restaurant,30.441514712454662,-84.2279186726704,FL
China Delight,Chinese Restaurant,30.44489836883585,-84.28390068162543,FL
Miso Noodle Bar,Asian Restaurant,30.444314200677297,-84.29690744371536,FL
Super China Buffet,Asian Restaurant,30.47757023320275,-84.29948283311101,FL
Hong Kong II,Chinese Restaurant,30.41548807520193,-84.27902859958088,FL
Good Luck,Chinese Restaurant,30.535910517070814,-84.21891774034381,FL
Mandarin Express,Chinese Restaurant,30.436665198491568,-84.25369065827205,FL
Happy Wok,Chinese Restaurant,30.50202667244031,-84.32955265045166,FL
Chuan Cafe,Chinese Restaurant,30.436718,-84.29745,FL
New Stars Chinese,Chinese Restaurant,30.37371880037508,-84.2925742158531,FL
Zhengs chinese,Chinese Restaurant,30.448490381240845,-84.261225,FL
Hong Kong,Chinese Restaurant,30.42893081,-84.22824167,FL
Chopstix,Chinese Restaurant,30.427696463298727,-84.21415788221093,FL
New China Restaurant,Chinese Restaurant,30.46463984968141,-84.29978780106656,FL
Chinese Food,Chinese Restaurant,30.501062,-84.32693,FL
Hong Kong Chinese Food & Take Out,Chinese Restaurant,30.531463,-84.36388492584229,FL
Golden Dragon,Chinese Restaurant,30.45011976,-84.31488135,FL
North China Gourmet,Chinese Restaurant,30.5044064,-84.254109,FL
Sarku Japan,Chinese Restaurant,30.436674298210356,-84.25374765847322,FL
Blossom Kitchen,Chinese Restaurant,30.444418976388892,-84.29115414619446,FL
Great Wall,Chinese Restaurant,30.460438676338583,-84.35692598207241,FL
No. 1 Chinese Restaurant,Chinese Restaurant,30.461241208788195,-84.36147267302462,FL
Hayashi,Chinese Restaurant,30.5356,-84.2163,FL
China Wok,Chinese Restaurant,30.403492656435617,-84.23744172229944,FL
Long Garden Chinese Restaurant,Chinese Restaurant,30.446877705197547,-84.31884024748642,FL
Emerald Garden,Chinese Restaurant,30.542857590518498,-84.22562899431085,FL
Samurai Express,Japanese Restaurant,30.460320322543645,-84.22443205275572,FL
Korean BBQ & More,Korean Restaurant,30.45267857077544,-84.33627555624211,FL
Royal Thai & Sushi,Thai Restaurant,30.447367,-84.307994,FL
Thai Kitchen Cuisine,Thai Restaurant,30.512282,-84.249133,FL
Thai Orchid And Sushi Bar,Thai Restaurant,30.42706,-84.237248,FL
Osaka,Japanese Restaurant,30.491165873315214,-84.28402053162645,Florida
Little Masa,Japanese Restaurant,30.436721,-84.297214,FL
Sushi Tokyo,Japanese Restaurant,30.436737739866814,-84.25794264994504,FL
Izzy Pub & Sushi,Japanese Restaurant,30.454883,-84.277582,FL
Mori Japanese Steakhouse,Japanese Restaurant,30.54188675202936,-84.22478952853298,FL
Sushilicious,Sushi Restaurant,30.54097,-84.225637,FL
California Sushi Bar,Sushi Restaurant,30.44073,-84.2882,FL
Mori's,Sushi Restaurant,30.46943972955731,-84.31319770940048,Florida
Sapporo Japanese Sushi & Grill,Sushi Restaurant,30.47355,-84.288989,FL
California Sushi Bar,Sushi Restaurant,30.451746,-84.335558,FL
Ginza Red,Sushi Restaurant,30.436318140850883,-84.29750952707106,FL
Sarku Japan,Sushi Restaurant,30.475842999602182,-84.29068778208011,FL
Kiku Japanese Fusion - Ocala Rd,Sushi Restaurant,30.4510105341381,-84.3182227311842,FL
Hasu Sushi & Grill II,Sushi Restaurant,30.512425338746954,-84.24922765871013,FL
Mori,Sushi Restaurant,30.479231695063078,-84.2973285852991,FL
Viva Cafe,Indonesian Restaurant,30.473809316701658,-84.28604597448427,FL
Downtown Ramen Bar,Ramen Restaurant,30.440546,-84.281402,FL
Fusion,Korean Restaurant,30.455807,-84.28069,FL
Ur Bowl,Ramen Restaurant,30.449735,-84.311088,FL
